# Archivo PDF (sin .pdf)|sección canónica
LISTA LCD 2026 - LCD BBB (1)|PANTALLA
FLEX DE CARGA - CARGA BBB|FLEX DE CARGA
PIN DE CARGA - PIN CARGA BBB|PIN DE CARGA
FLEX POWER - POWER VOLUMEN BBB|FLEX DE POWER Y VOLUMEN
BOTON FISICO - BOTON FISICO BBB|BOTON FISICO DE POWER Y VOLUMEN
FLEX POWER - POWER HUELLA BBB|FLEX DE HUELLA
FLEX CAMARA - FLEX CAMARA FRONTAL BBB|FLEX DE CAMARA FRONTAL
FLEX CAMARA - FLEX CAMARA TRASERA BBB|FLEX DE CAMARA TRASERA
VIDRIOS DE CAMARAS - VIDRIO DE CAMARA BBB|LENTE DE CAMARA
BUZZER - BUZZER BBB|BUZZER/TIMBRE/ALTAVOZ
FLEX AURICULAR - FLEX AURICULAR BBB|FLEX DE AURICULAR
FLEX ANTENA - FLEX ANTENA BBB|FLEX ANTENA SEÑAL
FLEX DE PLACA - PLACA BBB|FLEX DE PLACA
BANDEJA DE SIM - SIM BBB|BANDEJA DE CHIP
